pregunta_usuario,respuesta_generada_por_chatclinica,respuesta_esperada
¿De qué tamaño debe ser el consultorio dental?,[ERROR],
¿Es obligatorio tener un baño en el consultorio?,[ERROR],
¿Cuántas unidades dentales puedo tener?,[ERROR],
¿Debo tener un área de esterilización?,[ERROR],
¿La sala de espera es obligatoria?,[ERROR],
¿Qué requisitos debe cumplir la sala de procedimientos?,[ERROR],
¿Qué metraje mínimo se exige por unidad dental?,[ERROR],
¿Qué condiciones debe tener el área de esterilización?,[ERROR],
¿Cuántos consultorios puede tener un centro odontológico privado?,[ERROR],
¿Cuál es el área mínima para un consultorio de ortodoncia?,[ERROR],
¿Qué equipamiento es obligatorio en un consultorio dental?,[ERROR],
¿Debo tener autoclave o esterilizador específico?,[ERROR],
¿Es necesario contar con lavamanos en cada consultorio?,[ERROR],
¿Qué mobiliario debe estar presente en la sala de espera?,[ERROR],
¿Qué características debe tener la iluminación del consultorio?,[ERROR],
¿Qué licencia municipal necesito para abrir un consultorio dental?,[ERROR],
¿Necesito autorización del Ministerio de Salud?,[ERROR],
¿Cuáles son los requisitos del Colegio Odontológico del Perú?,[ERROR],
¿Qué normas técnicas debo cumplir para operar legalmente?,[ERROR],
¿Es obligatorio tener un libro de reclamaciones?,[ERROR],
¿Es necesario tener un protocolo de bioseguridad?,[ERROR],
¿Qué materiales son obligatorios para la gestión de residuos?,[ERROR],
¿Debo contar con señalización de seguridad interna?,[ERROR],
¿El consultorio debe tener ventilación natural?,[ERROR],
¿Puede atender un técnico dental en lugar de un odontólogo?,[ERROR],
¿Cuántos odontólogos pueden trabajar en un solo consultorio?,[ERROR],
¿Es obligatorio llevar historia clínica de cada paciente?,[ERROR],
¿Puedo contratar personal administrativo sin título en salud?,[ERROR],
¿Puedo operar un consultorio dental en mi domicilio?,[ERROR],
¿Qué pasa si no cumplo con las normas de infraestructura?,[ERROR],
